Population number,Putative Species,State,Latitude,Longitude
A_caudatum,A_caud,WA,45.64093,-122.03234
NY_Extra,A_cana,NY,42.64544,-73.74987
NY_JL,A_cana,NY,42.47490,-73.86291
NY_OP,A_cana,NY,42.76683,-73.66896
Pop 01,A_refl,MS,31.74147,-88.52569
Pop 02,A_refl,OH,40.10179,-83.12047
Pop 03,A_cana,KY,37.81773,-83.67748
Pop 04,A_cana,KY,38.38517,-83.41602
Pop 05,A_cana,TN,36.37517,-85.66328
Pop 06,A_acum,OH,39.78983,-83.84261
Pop 07,A_refl,OH,39.78983,-83.84261
Pop 08,A_cana,OH,39.78983,-83.84261
Pop 09,A_refl,OH,39.61495,-83.28189
Pop 10,A_refl,SC,33.75740,-80.70252
Pop 11,A_refl,SC,34.65342,-80.51973
Pop 12,A_refl,SC,34.56318,-81.75431
Pop 13,A_acum,NC,35.22159,-82.30774
Pop 14,A_cana,NC,35.64128,-82.49368
Pop 15,A_cana,NC,36.12247,-81.81896
Pop 16,A_cana,NC,36.06892,-82.02518
Pop 17,A_cana,NC,36.17228,-82.06274
Pop 18,A_cana,NC,36.12981,-82.10406
Pop 19,A_cana,NC,35.87577,-82.28370
Pop 20,A_cana,NC,35.81206,-82.31208
Pop 21,A_cana,NC,35.21089,-83.15179
Pop 22,A_cana,NC,35.32600,-83.10321
Pop 23,A_cana,NC,35.39372,-83.12672
Pop 24,A_acum,TN,35.66060,-83.53473
Pop 25,A_acum,TN,35.65231,-83.57555
Pop 26,A_acum,TN,35.66766,-83.66216
Pop 27,A_acum,TN,35.61532,-83.66511
Pop 28,A_cana,KY,37.55990,-84.23471
Pop 29,A_cana,KY,37.53314,-84.21818
Pop 30,A_refl,OH,39.90254,-83.21281
Pop 31,A_refl,OH,38.79128,-83.54251
Pop 32,A_cana,OH,38.71674,-83.50890
Pop 33,A_refl,OK,36.08251,-95.03989
Pop 34,A_refl,MI,42.26524,-83.68982
Pop 35,A_cana,WV,39.64467,-79.97640
Pop 36,A_refl,WV,39.64467,-79.97640
Pop 37,A_cana,WV,39.11909,-81.79828
Pop 38,A_cana,NY,41.92028,-75.15760
Pop 39,A_refl,OH,39.58673,-83.65793
Pop 40,A_refl,OH,39.62093,-84.09724
Pop 41,A_refl,IN,39.87024,-86.16006
Pop 42,A_refl,IN,39.86992,-86.02307
Pop 43,A_refl,IN,39.87689,-86.29822
Pop 44,A_acum,IN,39.29087,-86.72332
Pop 45,A_refl,IN,39.29035,-86.72335
Pop 46,A_refl,MO,38.54836,-90.43317
Pop 47,A_refl,MO,38.54805,-90.53808
Pop 48,A_refl,MO,37.81403,-91.16806
Pop 49,A_refl,MO,37.53870,-90.84271
Pop 50,A_refl,MO,37.56870,-90.15399
Pop 51,A_refl,AR,35.64814,-92.25056
Pop 52,A_refl,MO,39.23100,-94.54900
Pop 53,A_refl,MO,39.15200,-94.37400
Pop 54,A_refl,WI,43.05204,-89.37517
Pop 55,A_cana,MI, 39.54870,-82.58360
Pop 56,A_cana,WI,43.17770,-87.88470
Pop 57,A_refl,OH,39.98548,-83.24833
Pop 58,A_refl,OH,39.91961,-84.14553
Pop 59,A_refl,OH,39.87759,-84.27809
Pop 60,A_refl,IN,39.75922,-85.96203
Pop 61,A_refl,IN,39.88884,-85.14527
Pop 62,A_acum,IN,39.93669,-87.07050
Pop 63,A_refl,IN,39.88785,-87.19787
Pop 64,A_refl,IN,40.44212,-86.90413
Pop 65,A_refl,IL,41.20303,-87.98220
Pop 66,A_refl,IL,41.31984,-88.99246
Pop 67,A_refl,IL,42.18194,-89.05956
Pop 68,A_refl,IL,42.21944,-89.17636
Pop 69,A_refl,IL,42.27377,-89.02108
Pop 70,A_refl,IL,42.44049,-89.05228
Pop 71,A_acum,IL,42.61012,-88.82545
Pop 72,A_cana,WI,43.07383,-89.48889
Pop 73,A_acum,WI,43.08359,-89.60038
Pop 74,A_cana,WI,43.68839,-90.56925
Pop 75,A_acum,MN,44.03552,-91.66400
Pop 76,A_cana,MN,44.06249,-92.04650
Pop 77,A_cana,MN,44.03042,-92.43964
Pop 78,A_acum,OH,39.79560,-83.83829
Pop 79,A_refl,OH,39.79485,-83.83951
Pop 80,A_refl,OH,39.79485,-83.83951
Pop 81,A_refl,OH,39.79275,-83.84041
Pop 82,A_acum,OH,39.79275,-83.84041
Pop 83,A_acum,OH,39.78987,-83.84273
Pop 84,A_refl,OH,39.79082,-83.84148
Pop 85,A_refl,OH,39.79082,-83.84148
Pop 86,A_refl,OH,39.79082,-83.84148