"ID","Putative_Species","Avg_Sep_Angle","Avg_Sep_Length","Avg_Sep_MP_Width","Avg_Length_Tapering","Avg_In_Out_Ratio","Avg_Sep_Width","Pedicle_Width_mm","Pedicle_Length_cm","Tube_Length","Stamen_Length_cm","Dist_to_Gyn_Center_cm","Gyn_Height_cm","Gyn_Width_mm","Sepal_Tip_Shape","Overall_Sepal_Orientation","Calyx_Ab_Pub","Tube_Color","Rudimentary_Petals","Adaxial_Leaf_Pubescence","Leaf_Shape"
"Pop1_Ind1","reflexum",183.333333333333,1.9125,0.69,0.663333333333333,1,1.08645430395308,1.29,1.13,1.47,0.41,0.65,0.37,0.29,"Abrupt","Reflexed","Entire","At Tube","Zero","Margins","Reniform"
"Pop1_Ind2","reflexum",226,2.2875,0.603333333333333,0.696666666666667,1,1.08645430395308,1.11,1.61,1.25,0.41,0.53,0.34,0.27,"Abrupt","Reflexed","Entire","At Tube","Zero","Margins","Reniform-chordate"
"Pop1_Ind3","reflexum",215.666666666667,1.7375,0.59,0.546666666666667,1,1.08645430395308,1.04,1.62,0.98,0.29,0.34,0.27,0.24,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Renifrom-chordate"
"Pop2_Ind1","reflexum",229.666666666667,2.805,0.596666666666667,0.883333333333333,0.986666666666667,1.08645430395308,1.86,2.67,1.57,0.61,0.55,0.47,0.27,"Abrupt","Reflexed","Entire","At Tube","Three","Even","Chordate"
"Pop3_Ind1","canadense",173.666666666667,3.7975,0.4,0.516666666666667,0.71,1.08645430395308,2.15,1.94,1.77,0.66,0.75,0.48,0.34,"Tapering","Flat","Entire","One-Third","Three","Even","Chordate"
"Pop3_Ind2","canadense",185.333333333333,2.475,0.416666666666667,0.593333333333333,0.876666666666667,1.08645430395308,1.25,1.33,1.18,0.49,0.47,0.38,0.22,"Intermediate","Flat","Entire","At Tube","Three","Even","Chordate"
"Pop3_Ind3","canadense",188,3.15,0.263333333333333,0.773333333333333,0.59,1.08645430395308,2.17,1.07,1.71,0.64,0.6,0.54,0.36,"Tapering","Flat","Entire","At Tube","Three","Even","Chordate"
"Pop4_Ind1","canadense",182.333333333333,2.715,0.546666666666667,0.573333333333333,0.8,1.08645430395308,2.36,3.41,2.04,0.55,0.61,0.55,0.39,"Intermediate","Slight Incurve","Entire","At Tube","Three","Even","Reniform-chordate"
"Pop4_Ind2","reflexum",220.666666666667,2.405,0.6,0.783333333333333,0.906666666666667,1.08645430395308,2.38,2.27,1.63,0.52,0.62,0.5,0.38,"Abrupt","Reflexed","Entire","At Tube","Three","Even","Chordate"
"Pop4_Ind3","canadense",168.666666666667,2.2425,0.573333333333333,0.63,0.86,1.08645430395308,2.65,2.54,1.81,0.66,0.57,0.45,0.35,"Intermediate","Slight Incurve","To Lobes","One-Third","Three","Even","Chordate"
"Pop5_Ind1","reflexum",201.333333333333,3.47,0.666666666666667,0.67,1,1.08645430395308,1.75,2.31,1.61,0.48,0.61,0.51,0.3,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop5_Ind2","reflexum",207,2.6775,0.596666666666667,0.73,1,1.08645430395308,1.4,3.37,1.22,0.41,0.47,0.33,0.19,"Abrupt","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop5_Ind3","reflexum",245,2.5075,0.593333333333333,0.76,1,1.08645430395308,1.62,3.51,1.19,0.46,0.4,0.34,0.29,"Abrupt","Reflexed","To Lobes","At Tube","One","Even","Chordate"
"Pop6_Ind1","acuminatum",161.666666666667,3.02,0.28,0.776666666666667,0.856666666666667,1.08645430395308,1.44,2.75,1.38,0.43,0.43,0.35,0.32,"Tapering","Incurved","Entire","At Tube","Zero","Even","Chordate"
"Pop6_Ind2","acuminatum",191.666666666667,3.89,0.17,1.2,0.05,1.08645430395308,2.05,3.63,1.47,0.42,0.53,0.46,0.3,"Tapering","Flat","To Lobes","At Tube","Three","Even","Chordate"
"Pop6_Ind3","acuminatum",105.666666666667,4.02,0.196666666666667,1.33333333333333,0.206666666666667,1.08645430395308,1.95,2.96,1.72,0.64,0.59,0.48,0.3,"Tapering","Incurved","To Tube","At Tube","Three","Even","Reniform-Chordate"
"Pop6_Ind4","acuminatum",180,2.5925,0.29,0.833333333333333,1,1.08645430395308,1.46,2.48,1.41,0.36,0.49,0.38,0.28,"Tapering","Intermediate","To Tube","At Tube","Zero","Even","Reniform"
"Pop7_Ind1","reflexum",229.333333333333,3.3425,0.783333333333333,0.78,1,1.08645430395308,2.12,2.17,1.52,0.51,0.53,0.4,0.29,"Abrupt","Reflexed","To Tube","At Tube","Two","Even","Reniform-Chordate"
"Pop7_Ind2","reflexum",238.666666666667,2.475,0.726666666666667,0.776666666666667,1,1.08645430395308,2.17,2.98,1.47,0.55,0.41,0.38,0.27,"Abrupt","Reflexed","To Tube","At Tube","Zero","Even","Reniform"
"Pop8_Ind1","reflexum",208,2.5825,0.716666666666667,0.766666666666667,1,1.08645430395308,1.68,2.51,1.46,0.47,0.38,0.37,0.29,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Chordate"
"Pop8_Ind2","reflexum",221,2.475,0.673333333333333,0.69,1,1.08645430395308,1.7,1.95,1.44,0.44,0.47,0.34,0.26,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Chordate"
"Pop8_Ind3","reflexum",222.666666666667,2.7825,0.68,0.706666666666667,1,1.08645430395308,2.7,1.51,1.5,0.44,0.5,0.41,0.27,"Abrupt","Reflexed","Entire","At Tube","Two","Even","Chordate"
"Pop9_Ind1","reflexum",252,2.5975,0.463333333333333,0.583333333333333,1,1.08645430395308,1.63,1.62,1.34,0.45,0.39,0.41,0.23,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform-Chordate"
"Pop9_Ind2","reflexum",236.666666666667,3.21,0.523333333333333,0.62,0.816666666666667,1.08645430395308,1.61,1.18,1.28,0.498716577540107,0.38,0.27,0.21,"Abrupt","Reflexed","Entire","At Tube","One","Even","Reniform"
"Pop9_Ind3","reflexum",186.333333333333,2.4225,0.583333333333333,0.72,1,1.08645430395308,1.87,1.57,1.41,0.37,0.44,0.42,0.24,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop10_Ind1","reflexum",220.333333333333,2.0725,0.6,0.71,1,1.08645430395308,1.53,2.41,1.55,0.28,0.48979797979798,0.469292929292929,0.296414141414141,"Abrupt","Reflexed","To Tube","At Tube","Zero","Even","Reniform"
"Pop10_Ind2","reflexum",242.333333333333,1.67,0.623333333333333,0.666666666666667,1,1.08645430395308,1.46,1.82,1.42,0.41,0.4,0.38,0.19,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop10_Ind3","reflexum",239.333333333333,2.005,0.58,0.863333333333333,1,1.08645430395308,1.8,1.88,1.49,0.42,0.55,0.42,0.22,"Abrupt","Reflexed","Sparse","At Tube","Zero","Even","Reniform-Chordate"
"Pop11_Ind1","reflexum",226.333333333333,3.8125,0.653333333333333,0.756666666666667,1,1.08645430395308,1.94,1.87,1.74,0.41,0.52,0.43,0.28,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform"
"Pop11_Ind2","reflexum",236,2.7075,0.483333333333333,0.606666666666667,1,1.08645430395308,1.83,2.44,1.37,0.41,0.52,0.36,0.25,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform-Chordate"
"Pop11_Ind3","reflexum",243.333333333333,2.98,0.633333333333333,0.8,1,1.08645430395308,1.67,3.85,1.78,0.39,0.5,0.44,0.27,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform"
"Pop12_Ind1","reflexum",229,2.52,0.48,0.596666666666667,1,1.08645430395308,1.28,2.66,1.42,0.48,0.38,0.4,0.24,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
"Pop12_Ind2","reflexum",222.666666666667,2.0675,0.51,0.666666666666667,1,1.08645430395308,1.53,1.9,1.24,0.4,0.41,0.39,0.23,"Abrupt","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop12_Ind3","reflexum",232.333333333333,2.3125,0.523333333333333,0.6,1,1.08645430395308,1.59,3.11,1.43,0.4,0.42,0.36,0.2,"Abrupt","Reflexed","To Lobes","At Tube","Zero","Margins","Chordate"
"Pop13_Ind1","acuminatum",92.3333333333333,5.355,0.223333333333333,1.82,1.08333333333333,1.08645430395308,1.68,2.79,2.19,0.75,0.68,0.55,0.3,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop13_Ind2","acuminatum",113.666666666667,4.515,0.233333333333333,1.32333333333333,0.276666666666667,1.08645430395308,2.51,3.65,2.03,0.82,0.61,0.53,0.31,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop13_Ind3","acuminatum",95,6.1,0.22,1.81,0.136666666666667,1.08645430395308,2.85,3.08,2.52,0.81,0.63,0.72,0.4,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop14_Ind1","canadense",157.333333333333,3.1775,0.33,0.686666666666667,0.743333333333333,1.08645430395308,1.93,2.6,1.63,0.47,0.49,0.4,0.28,"Intermediate","Slight Incurve","To Lobes","At Tube","Zero","Even","Reniform-Chordate"
"Pop14_Ind2","canadense",190,2.535,0.486666666666667,0.506666666666667,0.806666666666667,1.08645430395308,1.76,3.91,1.41,0.42,0.39,0.3,0.24,"Intermediate","Flat","To Lobes","At Tube","Zero","Even","Chordate"
"Pop14_Ind3","canadense",172,3.0625,0.363333333333333,0.65,0.403333333333333,1.08645430395308,1.58,4.01,1.43,0.41,0.42,0.35,0.25,"Intermediate","Flat","Sparse","At Tube","Zero","Even","Chordate"
"Pop15_Ind1","canadense",149.666666666667,2.7175,0.41,0.57,0.37,1.08645430395308,1.47,2.54,1.04,0.31,0.36,0.26,0.24,"Intermediate","Slight Incurve","Sparse","At Tube","Two","Even","Reniform-Chordate"
"Pop15_Ind2","canadense",199,2.46,0.39,0.476666666666667,0.69,1.08645430395308,1.36,2.86,1.05,0.4,0.37,0.29,0.19,"Intermediate","Slight Reflex","Sparse","At Tube","Three","Even","Chordate"
"Pop15_Ind3","canadense",188.312607944732,3.07880829015544,0.430535405872193,0.648169257340242,0.680293609671848,1.08645430395308,1.75,2.3,1.46,0.39,0.42,0.32,0.23,"Intermediate","Flat","To Lobes","At Tube","Three","Even","Chordate"
"Pop16_Ind1","canadense",182,2.5975,0.363333333333333,0.603333333333333,0.626666666666667,1.08645430395308,1.52,2.97,1.11,0.36,0.34,0.29,0.2,"Intermediate","Flat","To Lobes","At Tube","Zero","Even","Chordate"
"Pop16_Ind2","canadense",212.333333333333,3.135,0.36,0.56,1.35,1.08645430395308,2.02,2.78,1.49,0.51,0.49,0.41,0.27,"Intermediate","Slight Reflex","To Lobes","At Tube","Two","Even","Chordate"
"Pop16_Ind3","canadense",202,3.1775,0.373333333333333,0.526666666666667,0.55,1.08645430395308,1.96,3.88,1.52,0.48,0.46,0.42,0.28,"Intermediate","Slight Reflex","To Lobes","At Tube","Zero","Even","Chordate"
"Pop17_Ind1","canadense",202,2.4375,0.303333333333333,0.423333333333333,0.61,1.08645430395308,1.65,2.66,1.1,0.49,0.37,0.35,0.23,"Intermediate","Slight Reflex","Sparse","At Tube","Three","Even","Chordate"
"Pop17_Ind2","canadense",211,2.7775,0.346666666666667,0.596666666666667,0.596666666666667,1.08645430395308,1.63,4.07,1.19,0.41,0.34,0.38,0.27,"Intermediate","Intermediate","Sparse","At Tube","Zero","Even","Chordate"
"Pop17_Ind3","canadense",179.333333333333,2.7575,0.333333333333333,0.563333333333333,0.446666666666667,1.08645430395308,1.42,2.94,1.16,0.49,0.35,0.26,0.25,"Intermediate","Intermediate","To Lobes","At Tube","One","Even","Chordate"
"Pop18_Ind1","canadense",218,2.49,0.51,0.413333333333333,1,1.08645430395308,1.62,2.13,1.21,0.37,0.34,0.36,0.22,"Intermediate","Reflexed","Sparse","At Tube","Two","Even","Chordate"
"Pop18_Ind2","canadense",214.666666666667,3.215,0.313333333333333,0.536666666666667,0.516666666666667,1.08645430395308,1.64,1.62,1.26,0.41,0.33,0.32,0.24,"Intermediate","Reflexed","To Lobes","At Tube","Three","Even","Chordate"
"Pop18_Ind3","canadense",184.333333333333,2.69,0.21,0.586666666666667,0.63,1.08645430395308,1.84,2.49,1.34,0.42,0.39,0.31,0.26,"Intermediate","Flat","To Lobes","At Tube","Two","Even","Chordate"
"Pop19_Ind1","canadense",191,3.0375,0.34,0.586666666666667,0.446666666666667,1.08645430395308,1.8,2.51,1.19,0.45,0.33,0.31,0.24,"Intermediate","Flat","To Lobes","At Tube","Two","Even","Chordate"
"Pop19_Ind2","canadense",209.666666666667,3.3825,0.276666666666667,0.69,0.633333333333333,1.08645430395308,1.56,2.4,1.27,0.39,0.35,0.34,0.28,"Intermediate","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop19_Ind3","canadense",233.666666666667,3.335,0.27,0.633333333333333,0.593333333333333,1.08645430395308,1.43,2.97,1.38,0.45,0.37,0.32,0.24,"Tapering","Reflexed","To Lobes","At Tube","One","Even","Chordate"
"Pop20_Ind1","canadense",217,2.765,0.493333333333333,0.56,0.496666666666667,1.08645430395308,1.77,3.2,1.51,0.498716577540107,0.47,0.36,0.3,"Intermediate","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop20_Ind2","canadense",166,2.68,0.32,0.51,0.916666666666667,1.08645430395308,1.7,2.71,1.48,0.4,0.5,0.42,0.25,"Intermediate","Slight Incurve","To Lobes","At Tube","Three","Even","Chordate"
"Pop20_Ind3","canadense",200.666666666667,3.1425,0.3,0.573333333333333,0.41,1.08645430395308,1.67,4.03,1.54,0.42,0.49,0.41,0.32,"Intermediate","Slight Reflex","To Lobes","At Tube","Zero","Even","Chordate"
"Pop21_Ind1","acuminatum",246.666666666667,4.5025,0.19,1.05,0.38,1.08645430395308,2.3,2.76,1.97,0.58,0.5,0.42,0.29,"Tapering","Reflexed","Sparse","At Tube","Two","Even","Chordate"
"Pop21_Ind2","acuminatum",226.085910652921,3.95372422680412,0.3146735395189,0.934175257731959,0.523178694158076,1.08645430395308,1.84,2.71,1.55,0.59,0.59,0.46,0.27,"Tapering","Reflexed","To Tube","At Tube","Three","Even","Chordate"
"Pop21_Ind3","acuminatum",290,4.15,0.146666666666667,1.06666666666667,0.29,1.08645430395308,1.7,5.42,1.33,0.52,0.48,0.43,0.29,"Tapering","Reflexed","To Lobes","At Tube","Three","Even","Chordate"
"Pop22_Ind1","canadense",186.333333333333,2.8025,0.423333333333333,0.413333333333333,0.32,1.08645430395308,1.86,3.12,1.42,0.41,0.47,0.39,0.28,"Intermediate","Flat","To Lobes","At Tube","Two","Even","Chordate"
"Pop22_Ind2","canadense",181.333333333333,3.54,0.303333333333333,0.65,0.27,1.08645430395308,1.91,3.61,1.54,0.51,0.41,0.48,0.33,"Intermediate","Flat","To Lobes","At Tube","Two","Even","Chordate"
"Pop22_Ind3","canadense",220,2.9425,0.306666666666667,0.516666666666667,0.64,1.08645430395308,1.76,3.22,1.48,0.49,0.42,0.31,0.3,"Intermediate","Intermediate","Sparse","At Tube","Three","Even","Chordate"
"Pop23_Ind1","canadense",165.333333333333,3.4,0.456666666666667,0.6,0.423333333333333,1.08645430395308,1.74,2.6,1.51,0.36,0.47,0.38,0.28,"Intermediate","Intermediate","To Lobes","At Tube","Three","Even","Chordate"
"Pop23_Ind2","canadense",210.333333333333,3.175,0.483333333333333,0.496666666666667,0.82,1.08645430395308,1.75,1.93,1.42,0.37,0.45,0.33,0.27,"Intermediate","Reflexed","Sparse","At Tube","Zero","Even","Chordate"
"Pop23_Ind3","canadense",181,3.99,0.293333333333333,0.813333333333333,0.37,1.08645430395308,1.73,2.36,1.66,0.44,0.49,0.39,0.35,"Tapering","Flat","To Lobes","At Tube","Zero","Even","Chordate"
"Pop24_Ind1","acuminatum",115.666666666667,6.4975,0.236666666666667,2.08666666666667,0.44,1.08645430395308,2.48,4.23,2.21,0.78,0.79,0.58,0.44,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop24_Ind2","acuminatum",86,5.71,0.193333333333333,2.31,0.213333333333333,1.08645430395308,2.14,3.19,1.74,0.81,0.58,0.55,0.34,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop24_Ind3","acuminatum",130.298611111111,6.1219921875,0.313263888888889,2.09569444444444,0.245069444444444,1.08645430395308,2.77,3.77,2.52,0.498716577540107,0.63,0.58,0.35,"Tapering","Incurved","To Lobes","At Tube","Zero","Even","Chordate"
"Pop25_Ind1","acuminatum",81,5.14,0.233333333333333,2.10333333333333,0.0866666666666667,1.08645430395308,1.49,2.88,1.81,0.93,0.59,0.54,0.33,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop25_Ind2","acuminatum",70.3333333333333,5.635,0.22,2.39,0,1.08645430395308,1.77,3.27,1.89,0.82,0.61,0.57,0.42,"Tapering","Incurved","To Tube","At Tube","Three","Even","Chordate"
"Pop25_Ind3","acuminatum",79,5.5925,0.17,2.27,0.0333333333333333,1.08645430395308,1.53,4.3,1.92,0.81,0.56,0.52,0.36,"Tapering","Incurved","To Lobes","One-Third","Three","Even","Chordate"
"Pop25_Ind4","acuminatum",105.333333333333,5.7875,0.196666666666667,2.14333333333333,0.13,1.08645430395308,1.56,2.98,1.81,0.86,0.54,0.53,0.3,"Tapering","Incurved","To Lobes","One-Third","One","Even","Chordate"
"Pop26_Ind1","acuminatum",70.3333333333333,5.68,0.25,1.68,0,1.08645430395308,2.07,3.66,2.19,0.93,0.6,0.68,0.47,"Tapering","Incurved","To Lobes","One-Third","Three","Even","Chordate"
"Pop26_Ind2","acuminatum",95,5.485,0.136666666666667,1.95666666666667,0,1.08645430395308,1.92,2.21,1.83,0.77,0.62,0.56,0.42,"Tapering","Incurved","To Lobes","One-Third","Two","Even","Chordate"
"Pop26_Ind3","acuminatum",103.666666666667,5.62,0.166666666666667,2.23333333333333,0.0333333333333333,1.08645430395308,2.28,2.52,2.12,0.84,0.64,0.61,0.38,"Tapering","Incurved","To Lobes","At Tube","Two","Even","Chordate"
"Pop27_Ind1","acuminatum",129,5.8975,0.163333333333333,2.21,0.383333333333333,1.08645430395308,2.07,2.37,2.23,0.85,0.56,0.54,0.35,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop27_Ind2","acuminatum",128,4.6075,0.206666666666667,1.83666666666667,0.166666666666667,1.08645430395308,1.52,2.88,1.83,0.58,0.53,0.58,0.34,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop27_Ind3","acuminatum",84.3333333333333,5.82,0.173333333333333,2.31666666666667,0.166666666666667,1.08645430395308,2.31,1.7,2.24,0.79,0.7,0.69,0.31,"Tapering","Incurved","To Lobes","At Tube","Three","Even","Chordate"
"Pop28_Ind1","canadense",164.333333333333,4.6175,0.243333333333333,0.806666666666667,0.476666666666667,1.08645430395308,1.68,3.68,1.97,0.52,0.52,0.45,0.32,"Intermediate","Slight Incurve","To Lobes","At Tube","Two","Margins","Chordate"
"Pop28_Ind2","canadense",185.666666666667,4.4625,0.28,1.10333333333333,0.596666666666667,1.08645430395308,1.95,3.1,1.85,0.6,0.53,0.48,0.3,"Intermediate","Flat","To Tube","At Tube","Three","Even","Chordate"
"Pop28_Ind3","canadense",161,4.55,0.256666666666667,0.943333333333333,0.213333333333333,1.08645430395308,2.66,1.9,2.2,0.69,0.6,0.55,0.38,"Intermediate","Flat","To Lobes","One-Third","Three","Even","Chordate"
"Pop29_Ind1","canadense",187.333333333333,4.605,0.29,0.883333333333333,0.35,1.08645430395308,1.79,3.09,2.3,0.63,0.53,0.71,0.38,"Intermediate","Intermediate","To Tube","One-Third","Three","Even","Chordate"
"Pop29_Ind2","canadense",149.333333333333,4.3475,0.206666666666667,0.78,0,1.08645430395308,1.72,3.31,1.89,0.43,0.54,0.7,0.34,"Intermediate","Slight Incurve","To Tube","One-Third","Three","Even","Reniform-Chordate"
"Pop29_Ind3","canadense",188,4.6025,0.33,0.86,0.45,1.08645430395308,2.48,2.74,2.02,0.42,0.55,0.71,0.34,"Intermediate","Flat","To Lobes","One-Third","Three","Even","Reniform-Chordate"
"Pop30_Ind1","reflexum",218,3.625,0.593333333333333,1.03,1,1.08645430395308,1.59,2.89,1.68,0.45,0.42,0.36,0.27,"Abrupt","Reflexed","To Lobes","Halfway","Two","Margins","Reniform-Chordate"
"Pop30_Ind2","reflexum",258.666666666667,4.4175,0.643333333333333,0.996666666666667,1,1.08645430395308,1.8,3.38,1.69,0.53,0.38,0.41,0.35,"Abrupt","Reflexed","To Lobes","One-Third","Zero","Margins","Reniform-Chordate"
"Pop30_Ind3","reflexum",267.333333333333,2.895,0.573333333333333,0.976666666666667,1,1.08645430395308,1.31,2.18,1.31,0.39,0.39,0.45,0.34,"Abrupt","Reflexed","To Tube","At Tube","Zero","Even","Chordate"
"Pop31_Ind1","reflexum",245,3.255,0.636666666666667,0.77,1,1.08645430395308,1.82,1.78,1.68,0.45,0.48,0.34,0.28,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Chordate"
"Pop31_Ind2","reflexum",196.333333333333,3.9625,0.683333333333333,1.17333333333333,1,1.08645430395308,2.52,3.28,1.95,0.53,0.61,0.5,0.36,"Abrupt","Intermediate","To Tube","At Tube","Zero","Margins","Chordate"
"Pop31_Ind3","reflexum",228.666666666667,3.975,0.603333333333333,0.87,0.966666666666667,1.08645430395308,2.63,2.6,2.02,0.54,0.63,0.56,0.38,"Abrupt","Reflexed","To Tube","At Tube","Zero","Margins","Reniform-Chordate"
"Pop31_Ind4","reflexum",218.333333333333,3.8175,0.65,0.813333333333333,1.00333333333333,1.08645430395308,2.16,2.86,1.99,0.43,0.58,0.51,0.37,"Abrupt","Intermediate","To Tube","At Tube","Zero","Margins","Chordate"
"Pop32_Ind1","canadense",216.965277777778,2.8269921875,0.376597222222222,0.752361111111111,0.665069444444444,1.08645430395308,1.49,1.18,1.57,0.51,0.49,0.36,0.21,"Intermediate","Intermediate","To Tube","At Tube","One","Even","Chordate"
"Pop32_Ind2","canadense",172.333333333333,3.58,0.316666666666667,0.793333333333333,0.56,1.08645430395308,2.12,2.44,2,0.51,0.45,0.41,0.3,"Intermediate","Intermediate","To Tube","At Tube","Two","Even","Reniform-Chordate"
"Pop32_Ind3","canadense",172,3.2775,0.383333333333333,0.783333333333333,0.6,1.08645430395308,1.69,2.73,1.6,0.63,0.39,0.48,0.27,"Intermediate","Intermediate","To Tube","One-Third","Zero","Even","Reniform-Chordate"
"Pop33_Ind1","reflexum",113,2.95,0.683333333333333,0.806666666666667,1,1.08645430395308,1.87,2.18,1.7,0.5,0.54,0.4,0.29,"Abrupt","Closed","To Tube","One-Third","Three","Even","Reniform"
"Pop34_Ind1","reflexum",231.965277777778,2.4819921875,0.563263888888889,0.869027777777778,0.911736111111111,1.08645430395308,1.81,1.57,1.48,0.29,0.35,0.37,0.3,"Abrupt","Reflexed","To Tube","At Tube","Zero","Even","Reniform-Chordate"
"Pop34_Ind2","reflexum",228.666666666667,2.835,0.596666666666667,0.853333333333333,1,1.08645430395308,1.76,1.89,1.61,0.44,0.47,0.45,0.32,"Abrupt","Reflexed","Entire","At Tube","Two","Even","Reniform-Chordate"
"Pop34_Ind3","reflexum",269.333333333333,3.13,0.64,0.936666666666667,1,1.08645430395308,1.91,2.18,1.44,0.53,0.45,0.47,0.33,"Abrupt","Reflexed","Entire","At Tube","Zero","Even","Reniform"
